_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
64a6d1d673193c702e9c8d09,,52.78,94.04,60.38,79.17,132;5;0;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688654294000
64a6d03173193c702e9c7d8b,,54.38,93.51,61.58,82.77,136;7;0;0,time,30,-1,1,30.01,0,1.9,false,false,english,none,normal,false,false,false,,1688653873000
64a6d00d73193c702e9c7c46,,48,88.97,58,76.66,120;10;0;6,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688653837000
64a6cd0773193c702e95bcb9,,51.98,87.27,65.98,76.65,130;11;4;1,time,30,-1,2,30.01,0,14.23,false,false,english,none,normal,false,false,false,,1688653063000
64a6c96173193c702e8ef810,,54.8,92.41,63.2,75.52,137;7;1;1,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688652129000
64a6b3d473193c702e631195,,57.2,96.15,62.4,79.29,143;2;1;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688646612000
64a6b37773193c702e5fbc57,,56.78,96.13,61.98,76.52,142;2;1;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688646519000
64a6b29273193c702e5fb530,,49.18,93.75,57.58,78.22,123;5;0;0,time,30,-1,4,30.01,0,41.54,false,false,english,none,normal,false,false,false,,1688646290000
64a6b01873193c702e58fd26,,59.98,96.86,63.58,78.68,150;2;1;1,time,30,-1,4,30.01,0,41.14,false,false,english,none,normal,false,false,false,,1688645656000
64a6203573193c702e484b93,,35.99,80.15,54.38,74.07,90;17;2;2,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688608821000
64a61e5773193c702e44eff4,,49.2,95.68,55.6,72.43,123;3;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688608343000
64a61d2f73193c702e44e9f0,,58.78,97.35,60.38,80.48,147;3;0;1,time,30,-1,2,30.01,0,7.08,false,false,english,none,normal,false,false,false,,1688608047000
64a6174873193c702e378462,,42.8,83.11,59.2,76.63,107;15;2;3,time,30,-1,2,30,0,18.39,false,false,english,none,normal,false,false,false,,1688606536000
64a60f8373193c702e2a15a2,,25.59,76.64,42.79,72.26,64;14;3;2,time,30,-1,1,30.01,0,12.78,false,false,english,none,normal,false,false,false,,1688604547000
64a5b66573193c702e7b8b3c,,50.78,94.56,58.78,78.69,127;5;0;1,time,30,-1,5,30.01,0,33.79,false,false,english,none,normal,false,false,false,,1688581733000
64a5aae973193c702e67499d,,45.98,88.89,57.58,73.98,115;9;2;2,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688578793000
64a5a6a473193c702e6086e9,,42.4,89.39,52.8,70.9,106;8;2;1,time,30,-1,1,30,0,19.94,false,false,english,none,normal,false,false,false,,1688577700000
64a59f3073193c702e530364,,51.18,92.16,61.18,80.16,128;6;1;2,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688575792000
64a59f0673193c702e530216,,47.58,92.65,54.38,76.7,119;5;1;2,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688575750000
64a59ee673193c702e530108,,44.4,89.93,55.6,74.78,111;10;0;1,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688575718000
64a59d5673193c702e4c51ea,,50,93.15,58.4,81.83,125;6;1;1,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688575318000
64a58fc973193c702e3154a7,,43.59,90.98,53.18,74.83,109;3;4;2,time,30,-1,2,30.01,0,5.15,false,false,english,none,normal,false,false,false,,1688571849000
64a58eb773193c702e314b08,,54.8,94.74,60.8,79.03,137;4;1;1,time,30,-1,2,30,0,24.35,false,false,english,none,normal,false,false,false,,1688571575000
64a58cd273193c702e3139cb,,56,97.92,57.6,72.36,140;2;0;0,time,30,-1,1,30,0,1.78,false,false,english,none,normal,false,false,false,,1688571090000
64a58b4773193c702e2a88e5,,44.79,88.97,54.38,76.02,112;11;0;5,time,30,-1,4,30.01,0,18.32,false,false,english,none,normal,false,false,false,,1688570695000
64a5776373193c702e0201e5,,55.98,98.64,58.78,82.25,140;1;0;0,time,30,-1,3,30.01,0,8.7,false,false,english,none,normal,false,false,false,,1688565602000
64a5773573193c702e02003e,,46.38,90.28,57.58,75.71,116;9;0;3,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688565557000
64a5765573193c702e01f823,,57.2,96.67,60,80.68,143;3;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688565333000
64a56a2b73193c702eeda41f,,50.4,88.24,61.2,73.52,126;11;3;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688562219000
64a565b973193c702ee03a2e,,45.98,88.89,57.58,76.93,115;11;0;2,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688561081000
64a5639e73193c702ee0299e,,47.18,94.96,55.58,78.07,118;5;0;0,time,30,-1,1,30.01,0,4.64,false,false,english,none,normal,false,false,false,,1688560542000
64a5623b73193c702ed97c0c,,44,88.03,56.8,75.04,110;10;1;1,time,30,-1,4,30,0,20.65,false,false,english,none,normal,false,false,false,,1688560187000
64a556f873193c702ec53da6,,44.4,86.52,56.4,74.74,111;7;8;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688557304000
64a54e3673193c702eb7b864,,37.59,79.26,53.98,72.63,94;19;0;9,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688555062000
64a54e1573193c702eb7b779,,42.79,82.76,57.98,72.72,107;17;2;0,time,30,-1,1,30.01,0,1.09,false,false,english,none,normal,false,false,false,,1688555029000
64a54cee73193c702eb10c36,,50.78,91.56,61.58,80.69,127;4;5;1,time,30,-1,1,30.01,0,5.58,false,false,english,none,normal,false,false,false,,1688554734000
64a54b9f73193c702eb1027e,,51.98,92.99,62.78,78.11,130;6;1;2,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1688554399000
64a5480073193c702eaa45a6,,55.6,89.63,65.6,76.99,139;11;1;2,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688553472000
64a52dab73193c702e7b1770,,59.18,96.79,62.38,79.89,148;3;1;0,time,30,-1,1,30.01,0,5.01,false,false,english,none,normal,false,false,false,,1688546731000
64a52b6e73193c702e7464d3,,50,90.73,60.4,81.88,125;10;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688546158000
64a52a6573193c702e745d91,,48.8,89.12,58.8,80.04,122;12;0;1,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1688545893000
64a5103e73193c702e3e941b,true,65.2,98.21,67.2,82.38,163;2;0;0,time,30,-1,2,30,0,2.38,false,false,english,none,normal,false,false,false,,1688539198000
